63405,福莱特FLT125－5两轮摩托车,北京创今时代数字技术有限公司           ,,3100
63406,山崎SAQ125－2两轮摩托车,北京创今时代数字技术有限公司           ,,3100
63407,山崎SAQ100－3两轮摩托车,北京万坤嘉和科技有限公司             ,,3100
63408,山崎SAQ100两轮摩托车,北京万坤嘉和科技有限公司             ,,3100
63409,爱立新ALX125T两轮摩托车,北京万坤嘉和科技有限公司             ,,3100
63410,爱立新ALX125－G两轮摩托车,北京万坤嘉和科技有限公司             ,,3100
63411,爱立新ALX125T－E两轮摩托车,北京润讯达成科技发展有限公司           ,,3100
63412,福莱特FLT125T－4两轮摩托车,北京润讯达成科技发展有限公司           ,,3100
63413,金狮JS125T－4两轮摩托车,正辉长荣（北京）科技有限公司           ,,3100
63414,太湖明珠TH125－D两轮摩托车,正辉长荣（北京）科技有限公司           ,,3200
63415,奔达BD125－C两轮摩托车,北京海诺公司                   ,,3200
63416,哈雷爱俊达HL150－F两轮摩托车,嘉和明新                     ,,3200
63417,奔达BD125－B两轮摩托车,北纬公司                     ,,3200
63418,三友SY50QT轻便两轮摩托车,北京盛世想联                   ,,3200
63419,金轮JL125－10两轮摩托车,北京世和通达科技发展有限公司           ,,3200
63420,奔达BD125－E两轮摩托车,北京世和通达科技发展有限公司           ,,3200
63421,奔达BD50QT－3轻便两轮摩托车,北京中商晓迪技贸有限公司             ,,3200
63422,奔达BD125－2两轮摩托车,北京中商晓迪技贸有限公司             ,,3200
63423,金轮JL150ZH－A正三轮摩托车,北京中商晓迪技贸有限公司             ,,3200
63424,爱立新ALX125T－B两轮摩托车,北京鑫理想                    ,,3200
63425,三友SY125T－5A两轮摩托车,北京芯网力科技有限公司              ,,3200
63426,三友SY125T－9两轮摩托车,北京锐智皓海数码科技有限责任公司         ,,3200
63427,福莱特FLT125－7两轮摩托车,北京金朗琪（原北京联惠佳）科技有限公司      ,,3200
63428,金狮JS125两轮摩托车,北京金朗琪（原北京联惠佳）科技有限公司      ,,3200
63429,金狮JS125－E两轮摩托车,北京神州同正科技有限公司             ,,3200
63430,金狮JS125－B两轮摩托车,佳仕众合                     ,,3200
63431,山崎SAQ100ZK－2正三轮摩托车,佳仕众合                     ,,3200
63432,太湖明珠TH125－2两轮摩托车,北京鑫瑞贝特                   ,,3300
63433,爱立新ALX125－L两轮摩托车,北京华胜计算机有限公司              ,,3300
63434,爱立新ALX125T－C两轮摩托车,北京华胜计算机有限公司              ,,3300
63435,三友SY125两轮摩托车,普兰普显示科技                  ,,3300
63436,福莱特FLT125T－8两轮摩托车,德华通                      ,,3300
63437,金狮JS125T－8两轮摩托车,德华通                      ,,3300
63438,奔达BD125－3两轮摩托车,北京神坤数码科技有限公司             ,,3300
63439,国威GW125T－3A两轮摩托车,北京芯网力科技有限公司              ,,3300
63440,金狮JS125－G两轮摩托车,北京芯网力科技有限公司              ,,3300
63441,福莱特FLT125－3两轮摩托车,长峰时代                     ,,3300
63442,金狮JS125－C两轮摩托车,北京太得豪办公设备商行              ,,3300
63443,三友SY125T－10两轮摩托车,北京太得豪办公设备商行              ,,3300
63444,爱立新ALX125－K两轮摩托车,北京太得豪办公设备商行              ,,3300
63445,福莱特FLT150两轮摩托车,安华时代                     ,,3300
63446,金轮JL150－6两轮摩托车,安华时代                     ,,3400
63447,金轮JL125－11两轮摩托车,北京市金朝辉伟业科技有限责任公司         ,,3400
63448,奔达BD125－5两轮摩托车,神州泰岳集团                   ,,3400
63449,奔达BD125－4两轮摩托车,神州泰岳集团                   ,,3400
63450,国威GW150－3两轮摩托车,金山顶尖                     ,,3400
63451,国威GW125T－8两轮摩托车,金山顶尖                     ,,3400
63452,金轮JL125ZH正三轮摩托车,金山顶尖                     ,,3400
63453,爱立新ALX125－E两轮摩托车,北京联友世纪科技有限公司             ,,3400
63454,三友SY125－2两轮摩托车,北京创今时代数字技术有限公司           ,,3400
63455,三友SY125－2两轮摩托车,北京创今时代数字技术有限公司           ,,3400
63456,爱立新ALX125－I两轮摩托车,北京创今时代数字技术有限公司           ,,3400
63457,金狮JS150－A两轮摩托车,北京创今时代数字技术有限公司           ,,3400
63458,山崎SAQ100ZK正三轮摩托车,北京万坤嘉和科技有限公司             ,,3400
63459,山崎SAQ50QZC轻便正三轮摩托车,北京万坤嘉和科技有限公司             ,,3400
