1001,1,2014-03-15,1200.00
1002,3,2014-07-22,800.00
1003,2,2015-01-10,1500.00
1004,4,2014-09-30,2000.00
1005,5,2013-12-25,900.00
1006,6,2014-05-20,2500.00
1007,7,2014-11-11,500.00
1008,8,2014-08-15,1800.00
1009,9,2014-06-30,3000.00
1010,10,2014-10-01,700.00
1011,1,2014-03-15,1200.00
1012,2,2015-01-10,1500.00
1013,7,2014-11-11,500.00
1014,8,2014-08-15,1800.00
1015,10,2014-10-01,700.00
1016,11,2014-12-01,1300.00
1017,13,2015-02-14,900.00
1018,15,2015-03-20,1100.00
1019,11,2015-05-25,1400.00
1020,11,2015-07-10,1200.00
